GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,125,3,4,0,26,1,10,1,8,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurvePointController,14,360,2,10,4,86,2,16,0,12
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,35,400,3,27,9,103,4,22,1,10
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,34,591,4,23,9,144,4,29,0,18
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,12,3,0,0,6,1,6,1,6,1
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,12,3,0,0,6,1,6,1,6,1
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,0,120,0,30,0,29,0,22,0,7
spring-boot-skeleton,com.nnk.springboot.services,BidListService,0,124,0,30,0,28,0,22,0,7
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,412,7,91,0,82,7,65,0,22
spring-boot-skeleton,com.nnk.springboot.mapper,CurvePointMapper,0,73,0,8,0,23,0,8,0,4
spring-boot-skeleton,com.nnk.springboot.mapper,RatingMapper,0,158,0,17,0,36,0,16,0,5
spring-boot-skeleton,com.nnk.springboot.mapper,BidListMapper,3,172,0,4,1,44,1,4,1,2
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,30,53,0,0,6,13,2,12,2,12
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,0,3,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.domain,BidList,75,166,0,0,3,28,3,45,3,45
spring-boot-skeleton,com.nnk.springboot.domain,Trade,0,3,0,0,0,1,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.domain,User,35,3,0,0,15,1,10,1,10,1
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,21,57,0,0,1,13,1,14,1,14
